exp_id,name,created_at,kaggle_tag,notes,attack_path,git_commit,attack_sha256
exp-001-baseline,Getting Started starter,2026-06-20T05:45:05Z,exp-001-baseline,Starter notebook default prompts,experiments/runs/exp-001-baseline/attack.py,,
exp-002-exfil-encoding,EXFILTRATION guardrail-aware,2026-06-23T23:30:00Z,exp-002-exfil-encoding,Multi-turn read + encoded/raw http.post exfiltration,experiments/runs/exp-002-exfil-encoding/attack.py,,
exp-003-mixed-v1,mixed-v1,2026-06-25T23:20:19Z,exp-003-mixed-v1,exp-001 baseline + exp-002 exfil grid; record any predicate; dedupe,experiments/runs/exp-003-mixed-v1/attack.py,5cb5ea5,0c6987c0d460610f775d147e9c7106ef593d2759416e23e849d7f15d2c56d0fe
exp-004-deputy-focus,deputy-focus,2026-06-26T15:03:04Z,exp-004-deputy-focus,exp-001 core + deputy variants; gated exfil; early return,experiments/runs/exp-004-deputy-focus/attack.py,5cb5ea5,0c6987c0d460610f775d147e9c7106ef593d2759416e23e849d7f15d2c56d0fe
exp-005-goexplore,goexplore,2026-06-26T15:08:47Z,exp-005-goexplore,SDK Go-Explore baseline + Kaggle prompt bank extension,experiments/runs/exp-005-goexplore/attack.py,5cb5ea5,4a0e8ca99bfde25a7b72b04eaab13c067de05bf593cece0475cab4268de721ff
exp-006-hybrid-baseline-goexplore,hybrid-baseline-goexplore,2026-06-27T00:40:58Z,exp-006-hybrid-baseline-goexplore,Phase A exp-001 then Go-Explore with Kaggle-only bank; short chains first,experiments/runs/exp-006-hybrid-baseline-goexplore/attack.py,5cb5ea5,4a0e8ca99bfde25a7b72b04eaab13c067de05bf593cece0475cab4268de721ff
exp-007-phase-a-boost,phase-a-boost,2026-06-28T23:36:44Z,exp-007-phase-a-boost,"exp-006 hybrid + expanded Phase A (deputy grid, snapshot branches, gated encoding); same Phase B Go-Explore",experiments/runs/exp-007-phase-a-boost/attack.py,ae91483,50770ddbe2fc6b4a8ca6fc5cd0ba9710fad18a92fcbbfce1e9245578efda6a23
exp-008-direct-replay-bank,direct-replay-bank,2026-07-06T08:26:09Z,exp-008-direct-replay-bank,Return a curated replay candidate bank before optional Kaggle-only Go-Explore so generation stochasticity cannot drop short proven prompts.,experiments/runs/exp-008-direct-replay-bank/attack.py,c59f95d,2e6f71d13714ea58a0a4c1479bac2915abee94095fc8612cd1aa234c006207d3
exp-010-structured-replay-bank,structured-replay-bank,2026-07-08T17:07:53Z,exp-010-structured-replay-bank,Structured direct replay bank; expanded HTTP/deputy/read-action/destructive candidates from exp-006/009.,experiments/runs/exp-010-structured-replay-bank/attack.py,146696f,3ac73456003a64dd18f52f2a863fbd49fcda3b21be74f1c7842cf1d833192768
exp-011-handoff-routing-bank,handoff-routing-bank,2026-07-14T17:05:09Z,exp-011-handoff-routing-bank,"exp-010 replay bank plus handoff/routing style candidates for exfiltration, confused deputy, untrusted-to-action, and destructive write coverage.",experiments/runs/exp-011-handoff-routing-bank/attack.py,cbbe087,1319ce54e5c388365fcd17cdd00fa3b11b75dfd77e2d7d32cb158e89fe19d817
